Bacteria,Drug,Radius,Lifespan
b1,d1,22.48,46.62
b1,d1,23.24,63.23
b1,d1,18.83,45.66
b1,d1,27.9,55.67
b1,d1,17.65,53.43
b1,d1,17.68,43.34
b1,d1,21.21,28.87
b1,d1,11.38,42.38
b1,d1,14.94,51.14
b1,d1,15.46,33.88
b1,d1,27.33,45.74
b1,d1,20.34,33.75
b1,d1,17.28,49.11
b1,d1,14.25,51.76
b1,d1,17,45.08
b1,d1,16.99,66.52
b1,d1,19.93,37.42
b1,d1,24.11,35.79
b1,d1,21.04,28.4
b1,d1,13.36,49.97
b1,d1,23.69,49.71
b1,d1,19.42,44.99
b1,d1,12.61,40.8
b1,d1,17.7,58.57
b1,d1,21.72,30.37
b1,d1,21.62,44.15
b1,d1,16.62,54.12
b1,d1,25.15,57.31
b1,d1,15.8,44.91
b1,d1,21.66,57.76
b1,d2,17.6,46.14
b1,d2,14.47,36.04
b1,d2,24.06,61.56
b1,d2,19.64,58.04
b1,d2,21.81,41.55
b1,d2,21.81,63.38
b1,d2,19.82,63.65
b1,d2,6.9,56.22
b1,d2,20.44,45.01
b1,d2,20.46,28.12
b1,d2,18.9,51.57
b1,d2,27.39,42.82
b1,d2,15.96,42.98
b1,d2,24.58,51.29
b1,d2,17.35,53.13
b1,d2,20.49,57.69
b1,d2,16.49,44.72
b1,d2,18.04,33.36
b1,d2,21.48,50.61
b1,d2,20.03,45.65
b1,d2,12.92,43.79
b1,d2,18.29,39.98
b1,d2,19.19,52.04
b1,d2,29.43,49.75
b1,d2,21.29,47.26
b1,d2,10.41,47.73
b1,d2,20.3,72.63
b1,d2,19.04,51.02
b1,d2,19.83,36.31
b1,d2,25.71,55.52
b1,d3,23.96,38.91
b1,d3,27.01,33.98
b1,d3,22.93,69.9
b1,d3,15.05,42.34
b1,d3,20.5,42.97
b1,d3,12.25,48.69
b1,d3,14.69,52.74
b1,d3,15.4,63.5
b1,d3,16.08,44.78
b1,d3,24.07,35.69
b1,d3,21.14,61.07
b1,d3,11.96,49.85
b1,d3,21.3,55.82
b1,d3,13.82,34.8
b1,d3,22.61,50.97
b1,d3,21.25,51.46
b1,d3,16.6,50.32
b1,d3,21.47,40.86
b1,d3,29.33,52.74
b1,d3,14.04,54.57
b1,d3,15.13,55.87
b1,d3,25.79,39.79
b1,d3,24.82,52.13
b1,d3,24.11,66.97
b1,d3,18.77,40.46
b1,d3,15.55,39.84
b1,d3,19.61,51.41
b1,d3,21.38,56.27
b1,d3,20.07,62.54
b1,d3,18.68,75.2
b2,d1,23.13,39.43
b2,d1,14.65,52.82
b2,d1,18.88,55.14
b2,d1,22.37,47.27
b2,d1,15.77,32.85
b2,d1,17.77,56.56
b2,d1,21.07,35.54
b2,d1,20.87,51.85
b2,d1,15.58,49.54
b2,d1,20.29,36.57
b2,d1,21.79,53.61
b2,d1,25.42,58.54
b2,d1,13.11,38.62
b2,d1,22.58,53.14
b2,d1,22.58,86.53
b2,d1,22.85,59.36
b2,d1,24.77,54.51
b2,d1,18.42,55.59
b2,d1,16.14,45.63
b2,d1,17.57,48.82
b2,d1,31.57,29.33
b2,d1,23.43,31.87
b2,d1,17.64,58.89
b2,d1,20.32,37.22
b2,d1,16.42,54.8
b2,d1,16.35,50.16
b2,d1,20.23,41.48
b2,d1,30.72,54.34
b2,d1,9.87,49.86
b2,d1,16.69,56.52
b2,d2,16.04,46.85
b2,d2,22.52,56.66
b2,d2,14,44.65
b2,d2,17.63,41.47
b2,d2,28.83,52.05
b2,d2,13.7,57.18
b2,d2,30.61,58.32
b2,d2,12.4,43.16
b2,d2,26.33,40.92
b2,d2,22.22,55.75
b2,d2,15.37,47.4
b2,d2,3.79,37.76
b2,d2,18.74,35.52
b2,d2,28.16,33.7
b2,d2,17.8,49.31
b2,d2,27.21,33.64
b2,d2,25.82,48.1
b2,d2,15.09,52.62
b2,d2,21,42
b2,d2,20.35,44.15
b2,d2,20.57,54.62
b2,d2,27.93,35.62
b2,d2,30.67,28.48
b2,d2,19.24,53.88
b2,d2,21.4,41.77
b2,d2,18.96,43.07
b2,d2,17.05,56.5
b2,d2,21.79,41.07
b2,d2,24.5,51.07
b2,d2,24.06,54.3
b2,d3,15.86,42.4
b2,d3,23.74,54.1
b2,d3,19.9,49.17
b2,d3,26.39,42.08
b2,d3,22.74,45.98
b2,d3,18.91,58.99
b2,d3,24.13,56.14
b2,d3,26.53,48.21
b2,d3,23.41,44.9
b2,d3,21.62,46.7
b2,d3,20.48,53.95
b2,d3,15.91,68.92
b2,d3,14.97,35.86
b2,d3,25.79,55.92
b2,d3,23.12,54.28
b2,d3,19.94,39.03
b2,d3,20.38,41.23
b2,d3,24.88,46.53
b2,d3,15.87,44.79
b2,d3,22.06,42.36
b2,d3,15.89,50.44
b2,d3,21.22,42.93
b2,d3,17.64,50.32
b2,d3,12.76,33.93
b2,d3,16.41,45.87
b2,d3,21.55,62.75
b2,d3,24.29,46.4
b2,d3,19.9,37.97
b2,d3,19.91,45.11
b2,d3,21.61,39.73
b3,d1,22.6,63.33
b3,d1,19.46,52.02
b3,d1,23.45,43.99
b3,d1,21.12,48.13
b3,d1,20.49,40.27
b3,d1,20.12,52.98
b3,d1,27.26,57.59
b3,d1,30.77,40.33
b3,d1,24.36,49.83
b3,d1,30.95,39.92
b3,d1,15.8,42.01
b3,d1,9.38,42.74
b3,d1,16.2,49.5
b3,d1,21.71,66.76
b3,d1,24.75,42.23
b3,d1,15.51,52.92
b3,d1,13.4,66.31
b3,d1,25.9,43.31
b3,d1,11.43,61.54
b3,d1,19.43,60.38
b3,d1,12.03,42.01
b3,d1,20.03,48.47
b3,d1,17.75,54.23
b3,d1,14.66,46.58
b3,d1,20.6,53.14
b3,d1,23.56,36.75
b3,d1,12.33,60.78
b3,d1,21.66,40.52
b3,d1,27.76,49.16
b3,d1,25.9,48.68
b3,d2,30.3,65.55
b3,d2,18.76,57.72
b3,d2,23.23,61.69
b3,d2,15.18,54.86
b3,d2,25.29,30.41
b3,d2,14.08,27.61
b3,d2,18.65,55.18
b3,d2,27.51,48.74
b3,d2,28.14,34.2
b3,d2,11.48,47.44
b3,d2,21.92,47.67
b3,d2,9.66,47.11
b3,d2,13.48,54.7
b3,d2,21.83,38.6
b3,d2,17.43,37.41
b3,d2,19.69,57.55
b3,d2,15.07,53.04
b3,d2,17.35,40.07
b3,d2,19.46,37.65
b3,d2,17.23,36.02
b3,d2,29.82,48.35
b3,d2,16.5,50.14
b3,d2,19.44,45.79
b3,d2,23.07,55.58
b3,d2,17.35,42.24
b3,d2,18.62,24.98
b3,d2,12.42,61.67
b3,d2,28.22,45.51
b3,d2,22.88,51.11
b3,d2,35.39,59.2
b3,d3,19.36,38.44
b3,d3,11.97,50.03
b3,d3,16.22,33.78
b3,d3,16.77,37.18
b3,d3,28.44,56.82
b3,d3,19.96,62.8
b3,d3,20.39,39.39
b3,d3,27.62,53.39
b3,d3,14.81,46.1
b3,d3,15.62,34.17
b3,d3,24.63,67.09
b3,d3,13.01,53.63
b3,d3,16.75,43.13
b3,d3,17.04,39.36
b3,d3,20.24,39.69
b3,d3,21.35,47.5
b3,d3,18.81,38.92
b3,d3,17.12,55.55
b3,d3,22.5,38.22
b3,d3,20.5,55.51
b3,d3,11.65,53.43
b3,d3,16.69,53.71
b3,d3,16.18,29.95
b3,d3,11.86,48.48
b3,d3,21.3,38.96
b3,d3,23.19,31.38
b3,d3,19.67,35.89
b3,d3,16.74,48.47
b3,d3,15.7,44.15
b3,d3,25.03,42.23
